SYMBOL,SITE_NAME,URL,PUBLISH_TIME,SCRAPED_TIME,TITLE,CONTENT
Cray Inc | CRAY,South China Morning Post,https://news.google.com./articles/CAIiEN1i4P8c6XkOrl2bNztgGAIqGQgEKhAIACoHCAowief2CjCJ2dUCMLiWxwU?hl=en-US&gl=US&ceid=US%3Aen,2019-04-06T10:42:38Z,2019-10-07-15-02,The madness of King Donald: is Trump really losing his mind?,The madness of King Donald: is Trump really losing his mind?
Cray Inc | CRAY,South China Morning Post,https://news.google.com./articles/CAIiEN1i4P8c6XkOrl2bNztgGAIqGQgEKhAIACoHCAowief2CjCJ2dUCMLiWxwU?hl=en-US&gl=US&ceid=US%3Aen,2019-04-06T10:42:38Z,2019-10-07-15-02,The madness of King Donald: is Trump really losing his mind?,The madness of King Donald: is Trump really losing his mind?
